2000-01-01 00:01:01 946684861.000000 [message] [main] Starting torctl program on host relayexitguard1 process id 10589
2000-01-01 00:01:01 946684861.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:01:01 946684861.000000 [info] [_torctl_activate] torctl-sent 'AUTHENTICATE'
2000-01-01 00:01:01 946684861.000000 [info] [_torctl_processLine] successfully received auth response '250 OK'
2000-01-01 00:01:01 946684861.000000 [info] [_torctl_activate] torctl-sent 'GETINFO status/bootstrap-phase'
2000-01-01 00:01:01 946684861.000000 [info] [_torctl_activate] torctl-sent 'SETEVENTS EXTENDED STATUS_CLIENT'
2000-01-01 00:11:21 946685481.619485 [message] [_torctl_processLine] torctl ready (Bootstrapped 100)
2000-01-01 00:11:21 946685481.619485 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 STATUS_CLIENT NOTICE CIRCUIT_ESTABLISHED
2000-01-01 00:11:21 946685481.619485 [info] [_torctl_activate] torctl-sent 'SETEVENTS BW'
2000-01-01 00:11:21 946685481.619485 [message] [_torctl_processLine] [torctl-log] localhost:9051 250 OK
2000-01-01 00:11:22 946685482.000895 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 5444 5661
2000-01-01 00:11:23 946685483.000334 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 11946 11964
2000-01-01 00:11:24 946685484.000623 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 521840 523078
2000-01-01 00:11:25 946685485.000094 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2715 2194
2000-01-01 00:11:26 946685486.000616 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2172 2190
2000-01-01 00:11:27 946685487.000457 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 2190
2000-01-01 00:11:28 946685488.000645 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 561
2000-01-01 00:11:29 946685489.000645 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 16
2000-01-01 00:11:30 946685490.000645 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:31 946685491.000645 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:32 946685492.000645 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:33 946685493.000645 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:34 946685494.000261 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2715 2728
2000-01-01 00:11:35 946685495.000032 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 561
2000-01-01 00:11:36 946685496.000468 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 559
2000-01-01 00:11:37 946685497.000211 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 16
2000-01-01 00:11:38 946685498.000733 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2172 2187
2000-01-01 00:11:39 946685499.000795 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 561
2000-01-01 00:11:40 946685500.000651 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 16
2000-01-01 00:11:41 946685501.000355 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 5973 5959
2000-01-01 00:11:42 946685502.000828 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 103118 103472
2000-01-01 00:11:43 946685503.000528 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 426179 426859
2000-01-01 00:11:44 946685504.000950 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 565
2000-01-01 00:11:45 946685505.000950 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 559
2000-01-01 00:11:46 946685506.000950 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 14
2000-01-01 00:11:47 946685507.000650 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 556
2000-01-01 00:11:48 946685508.000650 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 16
2000-01-01 00:11:49 946685509.000172 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
