2000-01-01 00:00:06 946684806.000000 [message] [main] Starting torctl program on host 4uthority1 process id 835
2000-01-01 00:00:06 946684806.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:00:06 946684806.000000 [info] [_torctl_activate] torctl-sent 'AUTHENTICATE'
2000-01-01 00:00:06 946684806.000000 [info] [_torctl_processLine] successfully received auth response '250 OK'
2000-01-01 00:00:06 946684806.000000 [info] [_torctl_activate] torctl-sent 'GETINFO status/bootstrap-phase'
2000-01-01 00:00:06 946684806.000000 [info] [_torctl_activate] torctl-sent 'SETEVENTS EXTENDED STATUS_CLIENT'
2000-01-01 00:04:45 946685085.892302 [message] [_torctl_processLine] torctl ready (Bootstrapped 100)
2000-01-01 00:04:45 946685085.892302 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 STATUS_CLIENT NOTICE CIRCUIT_ESTABLISHED
2000-01-01 00:04:45 946685085.892302 [info] [_torctl_activate] torctl-sent 'SETEVENTS BW'
2000-01-01 00:04:45 946685085.892302 [message] [_torctl_processLine] [torctl-log] localhost:9051 250 OK
2000-01-01 00:04:46 946685086.000302 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1921 1926
2000-01-01 00:04:47 946685087.000085 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 8237 1945
2000-01-01 00:04:48 946685088.000455 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 5087 1831
2000-01-01 00:04:49 946685089.000628 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1907 1713
2000-01-01 00:04:50 946685090.000398 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1907 1713
2000-01-01 00:04:51 946685091.000854 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 84
2000-01-01 00:04:52 946685092.000980 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:04:53 946685093.000106 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:04:54 946685094.000232 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:04:55 946685095.000358 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:04:56 946685096.000484 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:04:57 946685097.000610 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:04:58 946685098.000736 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:04:59 946685099.000862 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:00 946685100.000988 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:01 946685101.000114 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:02 946685102.000240 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 1372
2000-01-01 00:05:03 946685103.000428 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 83
2000-01-01 00:05:04 946685104.000554 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:05 946685105.000680 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:06 946685106.000806 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:07 946685107.000781 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 4472 5380
2000-01-01 00:05:08 946685108.000387 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 11126 10932
2000-01-01 00:05:09 946685109.000640 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 218089 521731
2000-01-01 00:05:10 946685110.000369 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 304908 1174
2000-01-01 00:05:11 946685111.000426 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 629
2000-01-01 00:05:12 946685112.000552 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 821 82
2000-01-01 00:05:13 946685113.000678 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 821 81
2000-01-01 00:05:14 946685114.000733 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:15 946685115.000859 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:16 946685116.000733 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:17 946685117.000849 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:18 946685118.000742 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
2000-01-01 00:05:19 946685119.000868 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 278 81
