timestamp,value
9466860003,2
9466860006,10
9466860009,17857
9466860012,181650
9466860015,0
9466860018,0
9466860021,0
9466860024,238420
9466860027,6474
9466860030,63744
9466860033,235056
9466860036,1992
9466860039,177288
9466860042,69720
9466860045,0
9466860048,166830
9466860051,6972
9466860054,75198
9466860057,74700
9466860060,0
9466860063,83166
9466860066,173304
9466860069,72708
9466860072,168822
9466860075,0
9466860078,176790
9466860081,50796
9466860084,71214
9466860087,138444
9466860090,201690
9466860093,0
9466860096,27390
9466860099,212646
9466860102,3486
9466860105,0
9466860108,7470
9466860111,230574
9466860114,0
9466860117,99600
9466860120,0
9466860123,249000
9466860126,0
9466860129,112548
9466860132,63744
9466860135,97608
9466860138,0
9466860141,74700
9466860144,16932
9466860147,153384
9466860150,32370
9466860153,23904
9466860156,44820
9466860159,84162
9466860162,85656
9466860165,64242
9466860168,108564
9466860171,58266
9466860174,0
9466860177,35358
9466860180,144918
9466860183,0
9466860186,93624
9466860189,181272
9466860192,17928
9466860195,109560
9466860198,4482
9466860201,179778
9466860204,179280
9466860207,18924
9466860210,96114
9466860213,68724
9466860216,0
9466860219,65238
9466860222,0
9466860225,57768
9466860228,120516
9466860231,27390
9466860234,43326
9466860237,0
9466860240,23406
9466860243,26394
9466860246,0
9466860249,31872
9466860252,124500
9466860255,3984
9466860258,42330
9466860261,18924
9466860264,0
9466860267,176790
9466860270,41334
9466860273,21912
9466860276,139938
9466860279,4482
9466860282,41334
9466860285,0
9466860288,32370
9466860291,3486
9466860294,13944
9466860297,0
9466860300,169320
9466860303,54780
9466860306,28386
9466860309,75198
9466860312,101592
9466860315,62748
9466860318,5976
9466860321,69720
9466860324,70716
9466860327,33864
9466860330,62748
9466860333,36852
9466860336,34860
9466860339,99102
9466860342,15438
9466860345,89142
9466860348,10458
9466860351,3486
9466860354,0
9466860357,131970
9466860360,24402
9466860363,10956
9466860366,184758
9466860369,42828
9466860372,16932
9466860375,78684
9466860378,0
9466860381,128484
9466860384,24900
9466860387,74700
9466860390,47310
9466860393,102090
9466860396,24900
9466860399,110556
9466860402,104580
9466860405,8964
9466860408,51294
9466860411,46314
9466860414,15936
9466860417,110556
9466860420,6972
9466860423,67728
9466860426,0
9466860429,6972
9466860432,88146
9466860435,84660
9466860438,15936
9466860441,46812
9466860444,6474
9466860447,0
9466860450,90138
9466860453,158862
9466860456,10458
9466860459,46812
9466860462,46314
9466860465,145416
9466860468,38346
9466860471,36354
9466860474,30876
9466860477,88146
9466860480,80178
9466860483,49800
9466860486,34860
9466860489,57270
9466860492,82170
9466860495,13446
9466860498,23406
9466860501,62748
9466860504,50298
9466860507,27888
9466860510,146910
9466860513,3984
9466860516,142926
9466860519,35358
9466860522,65736
9466860525,51294
9466860528,13446
9466860531,111054
9466860534,67230
9466860537,5976
9466860540,0
9466860543,0
9466860546,90636
9466860549,77688
9466860552,80676
9466860555,0
9466860558,72210
9466860561,97608
9466860564,79182
9466860567,3486
9466860570,84660
9466860573,32370
9466860576,128484
9466860579,71214
9466860582,3486
9466860585,0
9466860588,24900
9466860591,55278
9466860594,175296
9466860597,35358
9466860600,7470
9466860603,2
9466860606,0
9466860609,0
9466860612,0
9466860615,10
9466860618,17857
9466860621,23546
9466860624,78166
9466860627,102090
9466860630,1014
9466860633,90586
9466860636,41174
9466860639,136220
9466860642,78684
9466860645,44322
9466860648,32868
9466860651,72210
9466860654,26394
9466860657,48306
9466860660,174300
9466860663,0
9466860666,28386
9466860669,128484
9466860672,117030
9466860675,99600
9466860678,22908
9466860681,47310
9466860684,23406
9466860687,66234
9466860690,53286
9466860693,52788
9466860696,97608
9466860699,67230
9466860702,54780
9466860705,87150
9466860708,0
9466860711,83166
9466860714,66234
9466860717,0
9466860720,93624
9466860723,0
9466860726,121512
9466860729,90138
9466860732,133464
9466860735,196710
9466860738,15438
9466860741,67728
9466860744,151890
9466860747,25896
9466860750,32370
9466860753,88644
9466860756,11952
9466860759,102090
9466860762,13944
9466860765,124500
9466860768,61752
9466860771,37848
9466860774,24900
9466860777,85656
9466860780,15438
9466860783,69720
9466860786,26394
9466860789,42828
9466860792,165834
9466860795,17430
9466860798,49800
9466860801,0
9466860804,153882
9466860807,40338
9466860810,54780
9466860813,0
9466860816,11454
9466860819,65238
9466860822,67230
9466860825,15936
9466860828,39342
9466860831,49800
9466860834,0
9466860837,64242
9466860840,25896
9466860843,112548
9466860846,46314
9466860849,0
9466860852,31872
9466860855,17928
9466860858,82668
9466860861,87150
9466860864,54282
9466860867,99600
9466860870,33864
9466860873,56274
9466860876,58764
9466860879,498
9466860882,73206
9466860885,101094
9466860888,0
9466860891,15936
9466860894,92628
9466860897,31872
9466860900,108564
9466860903,62748
9466860906,36852
9466860909,0
9466860912,102588
9466860915,67230
9466860918,7470
9466860921,92628
9466860924,72210
9466860927,67230
9466860930,88644
9466860933,174300
9466860936,4482
9466860939,87648
9466860942,135456
9466860945,0
9466860948,13446
9466860951,82668
9466860954,0
9466860957,83664
9466860960,65736
9466860963,0
9466860966,99600
9466860969,36852
9466860972,137448
9466860975,86154
9466860978,50796
9466860981,107568
9466860984,31872
9466860987,33366
9466860990,0
9466860993,63744
9466860996,24900
9466860999,7470
9466861002,141930
9466861005,83166
9466861008,79680
9466861011,86154
9466861014,17928
9466861017,91632
9466861020,56274
9466861023,50796
9466861026,32370
9466861029,78684
9466861032,77190
9466861035,93126
9466861038,0
9466861041,0
9466861044,149400
9466861047,104082
9466861050,20418
9466861053,0
9466861056,249000
9466861059,8964
9466861062,87648
9466861065,152388
9466861068,73206
9466861071,63744
9466861074,6474
9466861077,155376
9466861080,0
9466861083,10956
9466861086,0
9466861089,238044
9466861092,8964
9466861095,182268
9466861098,0
9466861101,57768
9466861104,110556
9466861107,0
9466861110,188244
9466861113,49800
9466861116,16932
9466861119,12450
9466861122,0
9466861125,1494
9466861128,88146
9466861131,112050
9466861134,2490
9466861137,15438
9466861140,24900
9466861143,0
9466861146,14442
9466861149,54780
9466861152,51792
9466861155,78186
9466861158,24900
9466861161,40338
9466861164,12948
9466861167,170814
9466861170,0
9466861173,24900
9466861176,24900
9466861179,24900
9466861182,57270
9466861185,117030
9466861188,49800
9466861191,0
9466861194,5976
9466861197,81174
9466861200,127986
9466861203,2
9466861206,0
9466861209,0
9466861212,10
9466861215,12937
9466861218,39362
9466861221,0
9466861224,184292
9466861227,58764
9466861230,19920
9466861233,202188
9466861236,26892
9466861239,0
9466861242,19422
9466861245,0
9466861248,57768
9466861251,171810
9466861254,0
9466861257,24402
9466861260,155376
9466861263,0
9466861266,69222
9466861269,0
9466861272,30876
9466861275,46812
9466861278,121512
9466861281,27888
9466861284,46812
9466861287,0
9466861290,3486
9466861293,151890
9466861296,43824
9466861299,49800
9466861302,17430
9466861305,38844
9466861308,0
9466861311,242526
9466861314,0
9466861317,80676
9466861320,30876
9466861323,15936
9466861326,0
9466861329,94620
9466861332,26892
9466861335,0
9466861338,51294
9466861341,26892
9466861344,127488
9466861347,59262
9466861350,112050
9466861353,71214
9466861356,47310
9466861359,55776
9466861362,58764
9466861365,28386
9466861368,58764
9466861371,15438
9466861374,84162
9466861377,58764
9466861380,55776
9466861383,38346
9466861386,103584
9466861389,7470
9466861392,134460
9466861395,3486
9466861398,163842
9466861401,31374
9466861404,75198
9466861407,47310
9466861410,77190
9466861413,0
9466861416,19422
9466861419,78186
9466861422,21414
9466861425,5478
9466861428,1992
9466861431,122508
9466861434,0
9466861437,57768
9466861440,63246
9466861443,3486
9466861446,44820
9466861449,0
9466861452,79680
9466861455,70716
9466861458,3984
9466861461,49800
9466861464,0
9466861467,24900
9466861470,30876
9466861473,20916
9466861476,75198
9466861479,51792
9466861482,29382
9466861485,40836
9466861488,7470
9466861491,8466
9466861494,58764
9466861497,82170
9466861500,42330
9466861503,20916
9466861506,28884
9466861509,24900
9466861512,106572
9466861515,67728
9466861518,0
9466861521,68226
9466861524,0
9466861527,134460
9466861530,96114
9466861533,0
9466861536,57270
9466861539,61752
9466861542,3984
9466861545,41832
9466861548,158862
9466861551,11454
9466861554,151392
9466861557,7968
9466861560,52290
9466861563,25896
9466861566,74700
9466861569,55776
9466861572,118524
9466861575,72708
9466861578,12948
9466861581,98604
9466861584,6474
9466861587,58266
9466861590,0
9466861593,48804
9466861596,29382
9466861599,173802
9466861602,21912
9466861605,19920
9466861608,0
9466861611,229080
9466861614,0
9466861617,91134
9466861620,157866
9466861623,0
9466861626,0
9466861629,65238
9466861632,12948
9466861635,79680
9466861638,41334
9466861641,49800
9466861644,74700
9466861647,61752
9466861650,68724
9466861653,110556
9466861656,57768
9466861659,21912
9466861662,31872
9466861665,195216
9466861668,0
9466861671,83664
9466861674,165336
9466861677,0
9466861680,65238
9466861683,183762
9466861686,78186
9466861689,30876
9466861692,71214
9466861695,63246
9466861698,80178
9466861701,0
9466861704,160854
9466861707,88146
9466861710,0
9466861713,0
9466861716,53286
9466861719,0
9466861722,103086
9466861725,92628
9466861728,24900
9466861731,0
9466861734,99600
9466861737,149400
9466861740,0
9466861743,99600
9466861746,71214
9466861749,78186
9466861752,0
9466861755,70716
9466861758,0
9466861761,150396
9466861764,2988
9466861767,6474
9466861770,18426
9466861773,49800
9466861776,121512
9466861779,0
9466861782,109062
9466861785,24402
9466861788,97110
9466861791,36354
9466861794,59760
9466861797,62250
9466861800,112050
9466861803,2
9466861806,0
9466861809,0
9466861812,10
9466861815,17857
9466861818,46394
9466861821,126222
9466861824,58860
9466861827,45728
9466861830,0
9466861833,6972
9466861836,23406
9466861839,109062
9466861842,109560
9466861845,27390
9466861848,53286
9466861851,43824
9466861854,0
9466861857,149400
9466861860,72210
9466861863,0
9466861866,176790
9466861869,0
9466861872,98106
9466861875,83166
9466861878,67728
9466861881,24900
9466861884,0
9466861887,106572
9466861890,79182
9466861893,88146
9466861896,0
9466861899,108066
9466861902,130476
9466861905,80676
9466861908,76194
9466861911,22908
9466861914,94122
9466861917,0
9466861920,134958
9466861923,106572
9466861926,109062
9466861929,56772
9466861932,1494
9466861935,19422
9466861938,126492
9466861941,172308
9466861944,7470
9466861947,57270
9466861950,0
9466861953,65238
9466861956,0
9466861959,0
9466861962,57768
9466861965,116532
9466861968,0
9466861971,0
9466861974,74700
9466861977,498
9466861980,3984
9466861983,136452
9466861986,108066
9466861989,0
9466861992,74202
9466861995,19920
9466861998,61254
9466862001,93624
9466862004,49800
9466862007,99600
9466862010,99600
9466862013,38346
9466862016,111054
9466862019,2490
9466862022,76692
9466862025,31872
9466862028,13446
9466862031,150396
9466862034,52290
9466862037,21414
9466862040,49800
9466862043,57270
9466862046,11952
9466862049,74700
9466862052,55278
9466862055,74700
9466862058,0
9466862061,42330
9466862064,68226
9466862067,138444
9466862070,24900
9466862073,132966
9466862076,106074
9466862079,15438
9466862082,53784
9466862085,143424
9466862088,46314
9466862091,10458
9466862094,31374
9466862097,171810
9466862100,40836
9466862103,19422
9466862106,24402
9466862109,0
9466862112,64242
9466862115,117030
9466862118,3486
9466862121,39840
9466862124,0
9466862127,89142
9466862130,110058
9466862133,0
9466862136,49800
9466862139,0
9466862142,14940
9466862145,3984
9466862148,119022
9466862151,64740
9466862154,14940
9466862157,31374
9466862160,44322
9466862163,73206
9466862166,30378
9466862169,58266
9466862172,3984
9466862175,49800
9466862178,90138
9466862181,98106
9466862184,39840
9466862187,107070
9466862190,105078
9466862193,21912
9466862196,35358
9466862199,64242
9466862202,55776
9466862205,93624
9466862208,14442
