timestamp,value
9466860003,2
9466860006,10
9466860009,17857
9466860012,78434
9466860015,3426
9466860018,99790
9466860021,45344
9466860024,125030
9466860027,11952
9466860030,212148
9466860033,11454
9466860036,0
9466860039,10956
9466860042,0
9466860045,226590
9466860048,0
9466860051,0
9466860054,88644
9466860057,139440
9466860060,150894
9466860063,19920
9466860066,50298
9466860069,30378
9466860072,206172
9466860075,11454
9466860078,24900
9466860081,133464
9466860084,113544
9466860087,226092
9466860090,0
9466860093,0
9466860096,10956
9466860099,78684
9466860102,191232
9466860105,106074
9466860108,0
9466860111,3984
9466860114,6474
9466860117,51792
9466860120,152886
9466860123,3984
9466860126,136950
9466860129,155874
9466860132,31872
9466860135,131970
9466860138,157368
9466860141,51294
9466860144,26892
9466860147,3984
9466860150,0
9466860153,7968
9466860156,58764
9466860159,174798
9466860162,49800
9466860165,28386
9466860168,245514
9466860171,102588
9466860174,12450
9466860177,16434
9466860180,142428
9466860183,11454
9466860186,3984
9466860189,116034
9466860192,37350
9466860195,88644
9466860198,120516
9466860201,166332
9466860204,78186
9466860207,6474
9466860210,150396
9466860213,3984
9466860216,0
9466860219,88146
9466860222,498
9466860225,0
9466860228,0
9466860231,27390
9466860234,121512
9466860237,37350
9466860240,35856
9466860243,73206
9466860246,113544
9466860249,50298
9466860252,83166
9466860255,82668
9466860258,71712
9466860261,54282
9466860264,205176
9466860267,28884
9466860270,35358
9466860273,0
9466860276,88644
9466860279,104082
9466860282,56274
9466860285,0
9466860288,10956
9466860291,79680
9466860294,0
9466860297,206172
9466860300,26892
9466860303,0
9466860306,0
9466860309,153384
9466860312,95616
9466860315,134958
9466860318,0
9466860321,125496
9466860324,113046
9466860327,26892
9466860330,171312
9466860333,75696
9466860336,0
9466860339,104580
9466860342,115536
9466860345,28884
9466860348,0
9466860351,152886
9466860354,46314
9466860357,40836
9466860360,8964
9466860363,126492
9466860366,122508
9466860369,78186
9466860372,98106
9466860375,72708
9466860378,72210
9466860381,70716
9466860384,0
9466860387,127986
9466860390,27888
9466860393,9960
9466860396,34362
9466860399,102090
9466860402,53784
9466860405,2490
9466860408,71214
9466860411,81174
9466860414,147408
9466860417,20418
9466860420,82170
9466860423,44322
9466860426,155874
9466860429,91134
9466860432,47808
9466860435,0
9466860438,226092
9466860441,0
9466860444,0
9466860447,119520
9466860450,0
9466860453,0
9466860456,35358
9466860459,70716
9466860462,23406
9466860465,11454
9466860468,0
9466860471,212646
9466860474,24900
9466860477,0
9466860480,44322
9466860483,79680
9466860486,27390
9466860489,122508
9466860492,97608
9466860495,62250
9466860498,15438
9466860501,198204
9466860504,23406
9466860507,1494
9466860510,64740
9466860513,12450
9466860516,108564
9466860519,38346
9466860522,73206
9466860525,138942
9466860528,36852
9466860531,28884
9466860534,73704
9466860537,3984
9466860540,0
9466860543,135954
9466860546,52788
9466860549,73206
9466860552,156870
9466860555,22410
9466860558,49800
9466860561,23406
9466860564,32370
9466860567,143424
9466860570,3486
9466860573,46314
9466860576,0
9466860579,145416
9466860582,22908
9466860585,0
9466860588,55776
9466860591,24900
9466860594,49800
9466860597,60756
9466860600,0
9466860603,2
9466860606,0
9466860609,0
9466860612,0
9466860615,0
9466860618,10
9466860621,10458
9466860624,81711
9466860627,23984
9466860630,0
9466860633,30876
9466860636,55278
9466860639,39152
9466860642,119844
9466860645,58764
9466860648,56772
9466860651,104082
9466860654,5976
9466860657,20418
9466860660,12450
9466860663,52788
9466860666,31872
9466860669,138942
9466860672,59760
9466860675,87648
9466860678,83664
9466860681,17928
9466860684,61254
9466860687,36354
9466860690,51792
9466860693,0
9466860696,174300
9466860699,49800
9466860702,58764
9466860705,138444
9466860708,42828
9466860711,124002
9466860714,0
9466860717,89640
9466860720,47808
9466860723,46314
9466860726,49800
9466860729,0
9466860732,0
9466860735,249000
9466860738,0
9466860741,171810
9466860744,88146
9466860747,3984
9466860750,86652
9466860753,147408
9466860756,0
9466860759,31872
9466860762,70716
9466860765,146412
9466860768,24900
9466860771,117528
9466860774,0
9466860777,0
9466860780,211152
9466860783,19920
9466860786,124500
9466860789,69720
9466860792,123006
9466860795,62250
9466860798,27888
9466860801,15936
9466860804,23406
9466860807,146910
9466860810,28884
9466860813,49800
9466860816,83166
9466860819,159858
9466860822,80676
9466860825,39342
9466860828,196212
9466860831,38346
9466860834,75198
9466860837,0
9466860840,3984
9466860843,169818
9466860846,24900
9466860849,6972
9466860852,31374
9466860855,88644
9466860858,97110
9466860861,24900
9466860864,0
9466860867,89142
9466860870,10458
9466860873,78186
9466860876,68724
9466860879,2490
9466860882,0
9466860885,69720
9466860888,18426
9466860891,68724
9466860894,42330
9466860897,3486
9466860900,32868
9466860903,13446
9466860906,0
9466860909,17928
9466860912,66234
9466860915,40836
9466860918,75696
9466860921,66234
9466860924,8466
9466860927,80178
9466860930,24900
9466860933,36354
9466860936,230574
9466860939,0
9466860942,0
9466860945,152886
9466860948,0
9466860951,67728
9466860954,155874
9466860957,0
9466860960,66732
9466860963,4980
9466860966,127488
9466860969,121512
9466860972,0
9466860975,44820
9466860978,122010
9466860981,54780
9466860984,52290
9466860987,27390
9466860990,53286
9466860993,117528
9466860996,50796
9466860999,24900
9466861002,12450
9466861005,52290
9466861008,159360
9466861011,24900
9466861014,40836
9466861017,60258
9466861020,147906
9466861023,0
9466861026,23904
9466861029,130974
9466861032,0
9466861035,73206
9466861038,20916
9466861041,35856
9466861044,113544
9466861047,55776
9466861050,78684
9466861053,106074
9466861056,0
9466861059,58266
9466861062,19920
9466861065,88644
9466861068,65736
9466861071,75198
9466861074,57270
9466861077,122508
9466861080,16932
9466861083,26892
9466861086,0
9466861089,88146
9466861092,27390
9466861095,85656
9466861098,72708
9466861101,74700
9466861104,0
9466861107,26394
9466861110,74700
9466861113,15936
9466861116,169320
9466861119,15936
9466861122,0
9466861125,129978
9466861128,65736
9466861131,49800
9466861134,0
9466861137,100098
9466861140,63744
9466861143,60258
9466861146,85656
9466861149,17430
9466861152,131970
9466861155,87150
9466861158,24402
9466861161,118026
9466861164,69720
9466861167,40836
9466861170,158364
9466861173,95616
9466861176,3486
9466861179,163344
9466861182,47310
9466861185,83664
9466861188,18426
9466861191,0
9466861194,69720
9466861197,47310
9466861200,7470
9466861203,2
9466861206,0
9466861209,0
9466861212,0
9466861215,0
9466861218,10
9466861221,12937
9466861224,83354
9466861227,89700
9466861230,67892
9466861233,65880
9466861236,108066
9466861239,58266
9466861242,3984
9466861245,210156
9466861248,44322
9466861251,147906
9466861254,49800
9466861257,0
9466861260,49800
9466861263,7470
9466861266,141930
9466861269,49800
9466861272,38844
9466861275,70716
9466861278,98604
9466861281,140436
9466861284,1494
9466861287,0
9466861290,142428
9466861293,7470
9466861296,97608
9466861299,124500
9466861302,69222
9466861305,52788
9466861308,84660
9466861311,77688
9466861314,64242
9466861317,135456
9466861320,42330
9466861323,20418
9466861326,83664
9466861329,74202
9466861332,67230
9466861335,30876
9466861338,0
9466861341,243024
9466861344,0
9466861347,0
9466861350,0
9466861353,0
9466861356,4482
9466861359,19422
9466861362,55776
9466861365,169320
9466861368,0
9466861371,0
9466861374,24900
9466861377,70716
9466861380,89640
9466861383,63744
9466861386,0
9466861389,0
9466861392,75198
9466861395,110556
9466861398,57768
9466861401,5478
9466861404,59760
9466861407,3486
9466861410,59262
9466861413,87150
9466861416,39342
9466861419,38346
9466861422,0
9466861425,80178
9466861428,130476
9466861431,0
9466861434,26892
9466861437,29880
9466861440,47310
9466861443,85158
9466861446,49800
9466861449,9960
9466861452,3486
9466861455,46314
9466861458,97608
9466861461,30378
9466861464,85158
9466861467,27390
9466861470,18426
9466861473,85158
9466861476,119520
9466861479,9462
9466861482,78186
9466861485,21414
9466861488,56274
9466861491,0
9466861494,192726
9466861497,25398
9466861500,70716
9466861503,78684
9466861506,74202
9466861509,24900
9466861512,0
9466861515,22410
9466861518,30378
9466861521,15936
9466861524,131970
9466861527,44322
9466861530,3984
9466861533,22908
9466861536,119520
9466861539,75696
9466861542,30876
9466861545,5976
9466861548,76692
9466861551,50796
9466861554,74700
9466861557,43326
9466861560,72210
9466861563,84660
9466861566,39840
9466861569,49800
9466861572,4482
9466861575,140934
9466861578,7968
9466861581,60756
9466861584,3486
9466861587,163344
9466861590,143424
9466861593,95118
9466861596,73206
9466861599,4482
9466861602,145416
9466861605,3984
9466861608,99600
9466861611,7470
9466861614,136452
9466861617,5478
9466861620,111054
9466861623,16932
9466861626,15936
9466861629,58266
9466861632,66732
9466861635,0
9466861638,62250
9466861641,42330
9466861644,0
9466861647,7470
9466861650,142428
9466861653,0
9466861656,0
9466861659,35856
9466861662,83664
9466861665,209658
9466861668,26394
9466861671,153384
9466861674,18426
9466861677,36852
9466861680,57768
9466861683,19920
9466861686,54780
9466861689,0
9466861692,7470
9466861695,92130
9466861698,149400
9466861701,0
9466861704,98106
9466861707,77190
9466861710,66732
9466861713,0
9466861716,231072
9466861719,181272
9466861722,45318
9466861725,22410
9466861728,0
9466861731,0
9466861734,63744
9466861737,141432
9466861740,79680
9466861743,17430
9466861746,0
9466861749,79182
9466861752,19920
9466861755,146412
9466861758,52290
9466861761,7470
9466861764,123504
9466861767,65736
9466861770,57270
9466861773,16932
9466861776,199698
9466861779,0
9466861782,10458
9466861785,39840
9466861788,202188
9466861791,46314
9466861794,0
9466861797,40338
9466861800,89640
9466861803,2
9466861806,0
9466861809,0
9466861812,10
9466861815,3486
9466861818,36484
9466861821,28474
9466861824,131064
9466861827,0
9466861830,95968
9466861833,48300
9466861836,125994
9466861839,81672
9466861842,17928
9466861845,62250
9466861848,0
9466861851,0
9466861854,220116
9466861857,16434
9466861860,0
9466861863,0
9466861866,58266
9466861869,59760
9466861872,130974
9466861875,42330
9466861878,98604
9466861881,19422
9466861884,109062
9466861887,4482
9466861890,0
9466861893,124500
9466861896,10458
9466861899,114540
9466861902,24402
9466861905,1494
9466861908,157866
9466861911,106572
9466861914,69222
9466861917,63246
9466861920,18426
9466861923,70218
9466861926,0
9466861929,110556
9466861932,0
9466861935,0
9466861938,70716
9466861941,89640
9466861944,82170
9466861947,6474
9466861950,32868
9466861953,160854
9466861956,55278
9466861959,10956
9466861962,179280
9466861965,3486
9466861968,56772
9466861971,63744
9466861974,36354
9466861977,118026
9466861980,36354
9466861983,63744
9466861986,62748
9466861989,68724
9466861992,0
9466861995,46812
9466861998,124500
9466862001,72708
9466862004,51792
9466862007,0
9466862010,45318
9466862013,29382
9466862016,69720
9466862019,105078
9466862022,9960
9466862025,20418
9466862028,116532
9466862031,101592
9466862034,0
9466862037,37350
9466862040,0
9466862043,211650
9466862046,3486
9466862049,21414
9466862052,108564
9466862055,42330
9466862058,28386
9466862061,0
9466862064,69720
9466862067,0
9466862070,110556
9466862073,3984
9466862076,106074
9466862079,28386
9466862082,28386
9466862085,0
9466862088,49800
9466862091,128982
9466862094,60258
9466862097,21912
9466862100,94122
9466862103,55278
9466862106,59262
9466862109,0
9466862112,24900
9466862115,14940
9466862118,51294
9466862121,108066
9466862124,51294
9466862127,23406
9466862130,98106
9466862133,122508
9466862136,3486
9466862139,24900
9466862142,0
9466862145,74700
9466862148,60258
9466862151,39342
9466862154,19422
9466862157,36852
9466862160,33864
9466862163,112548
9466862166,96114
9466862169,0
9466862172,24900
9466862175,3486
9466862178,115038
9466862181,71712
9466862184,53784
9466862187,7470
9466862190,102588
9466862193,96612
9466862196,81672
9466862199,90138
9466862202,100098
9466862205,49302
9466862208,135456
