timestamp,value
9466860010,39981
9466860020,429452
9466860030,298800
9466860040,313740
9466860050,157368
9466860060,373500
9466860070,301290
9466860080,289836
9466860090,417822
9466860100,283362
9466860110,449694
9466860120,411348
9466860130,158364
9466860140,360054
9466860150,645408
9466860160,312943
9466860170,83395
9466860180,273786
9466860190,274644
9466860200,508458
9466860210,377982
9466860220,435750
9466860230,309258
9466860240,346110
9466860250,348600
9466860260,256968
9466860270,390432
9466860280,24900
9466860290,498000
9466860300,254976
9466860310,564732
9466860320,294969
9466860330,32807
9466860340,285374
9466860350,205176
9466860360,482064
9466860370,499992
9466860380,285354
9466860390,361916
9466860400,411348
9466860410,71214
9466860420,359058
9466860430,380472
9466860440,262944
9466860450,308760
9466860460,339636
9466860470,499494
9466860480,266928
9466860490,190433
9466860500,195733
9466860510,285504
9466860520,362544
9466860530,287346
9466860540,368520
9466860550,315234
9466860560,306270
9466860570,334656
9466860580,437742
9466860590,474096
9466860600,203682
9466860610,301290
9466860620,311250
9466860630,375492
9466860640,377484
9466860650,306107
9466860660,119141
9466860670,259654
9466860680,272406
9466860690,269916
9466860700,502482
9466860710,362544
9466860720,458160
9466860730,295314
9466860740,405870
9466860750,339636
9466860760,324696
9466860770,330672
9466860780,246012
9466860790,301290
9466860800,271410
9466860810,369018
9466860820,114739
9466860830,22779
9466860840,157056
9466860850,222514
9466860860,353580
9466860870,288840
9466860880,309756
9466860890,350094
9466860900,199698
9466860910,254976
9466860920,239040
9466860930,209658
9466860940,380970
9466860950,287346
9466860960,128982
9466860970,391428
9466860980,276390
9466860990,130476
9466861000,349596
9466861010,130974
9466861020,166830
9466861030,298800
9466861040,93187
9466861050,140235
9466861060,266228
9466861070,270414
9466861080,318720
9466861090,242028
9466861100,144420
9466861110,250992
9466861120,395412
9466861130,436248
9466861140,370224
9466861150,301290
9466861160,376986
9466861170,435252
9466861180,242028
9466861190,366030
9466861200,347106
9466861210,339337
9466861220,21345
9466861230,172254
9466861240,301560
9466861250,521904
9466861260,355572
9466861270,377484
9466861280,282366
9466861290,428778
9466861300,410352
9466861310,440730
9466861320,462642
9466861330,148404
9466861340,337644
9466861350,414834
9466861360,59262
9466861370,378480
9466861380,129359
9466861390,139309
9466861400,241608
9466861410,329676
9466861420,301788
9466861430,408858
9466861440,515430
9466861450,262446
9466861460,342624
9466861470,432762
9466861480,387942
9466861490,438738
9466861500,226092
9466861510,387942
9466861520,185256
9466861530,12948
9466861540,302784
9466861550,326747
9466861560,12948
9466861570,222220
9466861580,525252
9466861590,304982
9466861600,273402
9466861610,301788
9466861620,272904
9466861630,214638
9466861640,382962
9466861650,274896
9466861660,409356
9466861670,292270
9466861680,372504
9466861690,255972
9466861700,454176
9466861710,331170
9466861720,331668
9466861730,16835
9466861740,230932
9466861750,378978
9466861760,310254
9466861770,249996
9466861780,547302
9466861790,362544
9466861800,263940
9466861810,336150
9466861820,338640
9466861830,291828
9466861840,250992
9466861850,343620
9466861860,354078
9466861870,290334
9466861880,361548
9466861890,299298
9466861900,43413
9466861910,293548
9466861920,233848
9466861930,282126
9466861940,331170
9466861950,379476
9466861960,371508
9466861970,139938
9466861980,348102
9466861990,584154
9466862000,242526
9466862010,347106
9466862020,352584
9466862030,304776
9466862040,339138
9466862050,326190
9466862060,268920
9466862070,79993
9466862080,122696
9466862090,143698
9466862100,316680
9466862110,325194
9466862120,343122
9466862130,366854
9466862140,202990
9466862150,334208
9466862160,314238
9466862170,363042
9466862180,239538
9466862190,331668
9466862200,414336
9466862210,345114
9466862220,204180
9466862230,425790
9466862240,306270
9466862250,143343
9466862260,147118
9466862270,262838
9466862280,424794
9466862290,268422
9466862300,279378
9466862310,354078
9466862320,257964
9466862330,403878
9466862340,177288
9466862350,387444
9466862360,170814
9466862370,249498
9466862380,368022
9466862390,308262
9466862400,397404
9466862410,325692
9466862420,347604
9466862430,112463
9466862440,199508
9466862450,250054
9466862460,289338
9466862470,317724
9466862480,372504
9466862490,355074
9466862500,309756
9466862510,298800
9466862520,380970
9466862530,332664
9466862540,365034
9466862550,321210
9466862560,301290
9466862570,245514
9466862580,416328
9466862590,342126
9466862600,145057
9466862610,56294
9466862620,231368
9466862630,396050
9466862640,323700
9466862650,207666
9466862660,231570
9466862670,198204
9466862680,266928
9466862690,453180
9466862700,340632
9466862710,253980
9466862720,274896
9466862730,471606
9466862740,198204
9466862750,317948
9466862760,186252
9466862770,279876
9466862780,258462
9466862790,296145
9466862800,107190
9466862810,413366
9466862820,240534
9466862830,313242
9466862840,473598
9466862850,409854
9466862860,468120
9466862870,334656
9466862880,397902
9466862890,302286
9466862900,360054
9466862910,383958
9466862920,297306
9466862930,310254
9466862940,239040
9466862950,191611
9466862960,130842
9466862970,262176
9466862980,269982
9466862990,253980
9466863000,376488
9466863010,306768
9466863020,187248
9466863030,159858
9466863040,277884
9466863050,285354
9466863060,244518
9466863070,197208
9466863080,184260
9466863090,153882
9466863100,216132
9466863110,107070
9466863120,158862
9466863130,157368
9466863140,207666
9466863150,230574
9466863160,234060
9466863170,132966
9466863180,240534
9466863190,138942
9466863200,128329
9466863210,10
9466863220,156332
9466863230,213900
9466863240,124500
9466863250,219618
9466863260,167328
9466863270,235554
9466863280,122508
9466863290,197706
9466863300,227586
9466863310,149400
9466863320,99600
9466863330,149400
9466863340,131472
9466863350,134958
9466863360,175794
9466863370,155376
9466863380,218124
9466863390,155376
9466863400,124500
9466863410,139440
9466863420,138942
9466863430,144918
9466863440,156870
9466863450,266430
9466863460,6474
9466863470,166332
9466863480,204180
9466863490,193722
9466863500,229578
9466863510,195714
9466863520,201192
9466863530,40137
9466863540,12938
9466863550,232346
9466863560,196212
9466863570,261948
9466863580,317226
9466863590,175464
9466863600,180962
9466863610,188244
9466863620,447204
9466863630,99600
9466863640,336150
9466863650,195216
9466863660,280374
9466863670,184260
9466863680,268422
9466863690,254478
9466863700,181272
9466863710,260454
9466863720,208164
9466863730,154380
9466863740,178284
9466863750,185754
9466863760,85656
9466863770,287844
9466863780,70099
9466863790,10
9466863800,81642
9466863810,60934
9466863820,233562
9466863830,304278
9466863840,62250
9466863850,225594
9466863860,223104
9466863870,249996
9466863880,105078
9466863890,279876
9466863900,137946
9466863910,197706
9466863920,55278
9466863930,167826
9466863940,187746
9466863950,218622
9466863960,80676
9466863970,237546
9466863980,176790
9466863990,272406
9466864000,144918
9466864010,196710
9466864020,254976
9466864030,143424
9466864040,312744
9466864050,135456
9466864060,230076
9466864070,93126
9466864080,97110
9466864090,75555
9466864100,39980
9466864110,82030
9466864120,249386
9466864130,83664
9466864140,295812
9466864150,45318
9466864160,236550
9466864170,257964
9466864180,353082
9466864190,152388
9466864200,449694
9466864210,240036
9466864220,140934
9466864230,307266
9466864240,134460
9466864250,239040
9466864260,323700
9466864270,192726
9466864280,79182
9466864290,174300
9466864300,294816
9466864310,205176
9466864320,193224
9466864330,155376
9466864340,146910
9466864350,159858
9466864360,10099
9466864370,87370
9466864380,121386
9466864390,262446
9466864400,247506
9466864410,196710
9466864420,220116
9466864430,105078
9466864440,224100
9466864450,249000
9466864460,255474
9466864470,199698
9466864480,121014
9466864490,170814
9466864500,245016
9466864510,78684
9466864520,213144
9466864530,123006
9466864540,119520
9466864550,120516
9466864560,115038
9466864570,153384
9466864580,208662
9466864590,164340
9466864600,126990
9466864610,249000
9466864620,121014
9466864630,163344
9466864640,213642
9466864650,259956
9466864660,106993
9466864670,43336
9466864680,232654
9466864690,243024
9466864700,155376
9466864710,232068
9466864720,222606
9466864730,161850
9466864740,138444
9466864750,185256
9466864760,131970
9466864770,350592
9466864780,90138
9466864790,220614
9466864800,215634
