timestamp,value
9466860003,2
9466860006,10
9466860009,0
9466860012,39969
9466860015,67270
9466860018,130812
9466860021,33366
9466860024,224598
9466860027,243522
9466860030,12450
9466860033,241792
9466860036,38346
9466860039,7470
9466860042,228084
9466860045,83664
9466860048,15438
9466860051,193722
9466860054,127986
9466860057,20418
9466860060,123504
9466860063,194220
9466860066,37848
9466860069,38346
9466860072,210654
9466860075,20916
9466860078,123006
9466860081,62250
9466860084,245514
9466860087,103086
9466860090,184260
9466860093,38844
9466860096,7470
9466860099,232068
9466860102,92130
9466860105,13446
9466860108,141930
9466860111,104580
9466860114,23406
9466860117,197208
9466860120,0
9466860123,157866
9466860126,98106
9466860129,79680
9466860132,211152
9466860135,84162
9466860138,110058
9466860141,172308
9466860144,62250
9466860147,181272
9466860150,22908
9466860153,142926
9466860156,0
9466860159,224598
9466860162,26892
9466860165,72708
9466860168,22908
9466860171,226092
9466860174,59760
9466860177,0
9466860180,96114
9466860183,146412
9466860186,41334
9466860189,215634
9466860192,90138
9466860195,86154
9466860198,161352
9466860201,23406
9466860204,207666
9466860207,96612
9466860210,141432
9466860213,163842
9466860216,0
9466860219,116532
9466860222,159360
9466860225,0
9466860228,212148
9466860231,206670
9466860234,77688
9466860237,139938
9466860240,61254
9466860243,219120
9466860246,177288
9466860249,148902
9466860252,129978
9466860255,81672
9466860258,43824
9466860261,202686
9466860264,38844
9466860267,0
9466860270,239040
9466860273,59760
9466860276,151890
9466860279,161850
9466860282,32370
9466860285,6972
9466860288,110556
9466860291,24900
9466860294,118026
9466860297,68724
9466860300,261948
9466860303,19920
9466860306,231570
9466860309,207168
9466860312,87648
9466860315,7968
9466860318,180276
9466860321,102090
9466860324,34362
9466860327,3984
9466860330,244518
9466860333,211650
9466860336,86652
9466860339,76692
9466860342,142926
9466860345,64740
9466860348,229080
9466860351,21912
9466860354,58764
9466860357,27390
9466860360,0
9466860363,225594
9466860366,10458
9466860369,238542
9466860372,59760
9466860375,131970
9466860378,124002
9466860381,191232
9466860384,0
9466860387,100596
9466860390,50796
9466860393,67230
9466860396,0
9466860399,176292
9466860402,130974
9466860405,237048
9466860408,5478
9466860411,134958
9466860414,19422
9466860417,267924
9466860420,38844
9466860423,205674
9466860426,74700
9466860429,99102
9466860432,21414
9466860435,231570
9466860438,28884
9466860441,120516
9466860444,101094
9466860447,22908
9466860450,90138
9466860453,216630
9466860456,0
9466860459,217626
9466860462,65238
9466860465,115038
9466860468,74202
9466860471,93126
9466860474,19422
9466860477,139440
9466860480,163344
9466860483,109062
9466860486,105078
9466860489,0
9466860492,236550
9466860495,137448
9466860498,88146
9466860501,117528
9466860504,225096
9466860507,71712
9466860510,19920
9466860513,0
9466860516,232068
9466860519,174300
9466860522,74700
9466860525,96612
9466860528,113046
9466860531,83166
9466860534,66732
9466860537,0
9466860540,238044
9466860543,130476
9466860546,0
9466860549,240534
9466860552,25896
9466860555,165336
9466860558,96612
9466860561,3984
9466860564,168822
9466860567,71712
9466860570,67230
9466860573,161352
9466860576,217128
9466860579,11454
9466860582,233064
9466860585,3486
9466860588,0
9466860591,110556
9466860594,101094
9466860597,77688
9466860600,186252
9466860603,2
9466860606,0
9466860609,0
9466860612,10
9466860615,12937
9466860618,1434
9466860621,115776
9466860624,105414
9466860627,82668
9466860630,231072
9466860633,34860
9466860636,163842
9466860639,19920
9466860642,71214
9466860645,56274
9466860648,67728
9466860651,146910
9466860654,119520
9466860657,66732
9466860660,242028
9466860663,230076
9466860666,7470
9466860669,75696
9466860672,50796
9466860675,0
9466860678,78186
9466860681,63744
9466860684,194718
9466860687,55278
9466860690,116532
9466860693,104082
9466860696,57270
9466860699,28386
9466860702,179280
9466860705,51792
9466860708,59262
9466860711,86652
9466860714,92130
9466860717,63744
9466860720,105078
9466860723,138444
9466860726,75198
9466860729,152388
9466860732,7470
9466860735,56274
9466860738,66234
9466860741,31374
9466860744,58764
9466860747,28884
9466860750,165336
9466860753,27390
9466860756,51294
9466860759,172806
9466860762,62250
9466860765,158862
9466860768,116532
9466860771,61254
9466860774,134460
9466860777,38844
9466860780,95118
9466860783,136452
9466860786,99600
9466860789,117030
9466860792,39342
9466860795,31374
9466860798,122508
9466860801,16434
9466860804,155376
9466860807,84162
9466860810,120516
9466860813,145914
9466860816,87150
9466860819,127986
9466860822,120516
9466860825,3486
9466860828,153882
9466860831,96612
9466860834,52290
9466860837,46812
9466860840,136452
9466860843,88644
9466860846,34860
9466860849,214140
9466860852,44322
9466860855,67728
9466860858,135954
9466860861,148902
9466860864,229080
9466860867,188244
9466860870,77688
9466860873,146910
9466860876,161352
9466860879,157368
9466860882,144918
9466860885,173304
9466860888,31374
9466860891,73704
9466860894,62250
9466860897,164838
9466860900,138942
9466860903,189240
9466860906,98604
9466860909,101094
9466860912,101592
9466860915,147906
9466860918,114540
9466860921,196212
9466860924,91134
9466860927,72708
9466860930,226092
9466860933,76692
9466860936,195216
9466860939,0
9466860942,226092
9466860945,183762
9466860948,193224
9466860951,94122
9466860954,71214
9466860957,207666
9466860960,62748
9466860963,83166
9466860966,44820
9466860969,161850
9466860972,116532
9466860975,163842
9466860978,11454
9466860981,164340
9466860984,7470
9466860987,226590
9466860990,16434
9466860993,100098
9466860996,19920
9466860999,115038
9466861002,122010
9466861005,65238
9466861008,12450
9466861011,0
9466861014,214638
9466861017,72210
9466861020,139440
9466861023,157866
9466861026,153384
9466861029,209160
9466861032,167826
9466861035,96612
9466861038,162348
9466861041,78684
9466861044,135954
9466861047,2490
9466861050,117030
9466861053,186252
9466861056,56274
9466861059,196212
9466861062,84162
9466861065,206670
9466861068,36354
9466861071,59760
9466861074,171810
9466861077,0
9466861080,0
9466861083,230076
9466861086,1494
9466861089,89640
9466861092,122010
9466861095,140934
9466861098,57270
9466861101,58266
9466861104,220116
9466861107,7470
9466861110,44322
9466861113,90138
9466861116,210654
9466861119,89640
9466861122,119520
9466861125,139938
9466861128,100596
9466861131,133962
9466861134,67728
9466861137,110058
9466861140,75198
9466861143,38346
9466861146,99102
9466861149,224598
9466861152,10956
9466861155,94122
9466861158,101094
9466861161,73704
9466861164,196710
9466861167,63744
9466861170,155874
9466861173,71214
9466861176,135954
9466861179,62748
9466861182,116034
9466861185,7470
9466861188,100098
9466861191,166332
9466861194,0
9466861197,100596
9466861200,64740
9466861203,2
9466861206,0
9466861209,10
9466861212,0
9466861215,87657
9466861218,144418
9466861221,69230
9466861224,98604
9466861227,115590
9466861230,132468
9466861233,0
9466861236,69720
9466861239,109062
9466861242,226092
9466861245,208662
9466861248,7968
9466861251,0
9466861254,202686
9466861257,18924
9466861260,119022
9466861263,3984
9466861266,128982
9466861269,91134
9466861272,132468
9466861275,15438
9466861278,80178
9466861281,114540
9466861284,109062
9466861287,50796
9466861290,204180
9466861293,70716
9466861296,90138
9466861299,134460
9466861302,147906
9466861305,45816
9466861308,99102
9466861311,0
9466861314,233562
9466861317,28884
9466861320,88146
9466861323,167826
9466861326,251490
9466861329,73704
9466861332,121014
9466861335,218124
9466861338,72708
9466861341,0
9466861344,53286
9466861347,180774
9466861350,75696
9466861353,74700
9466861356,130476
9466861359,103086
9466861362,35358
9466861365,215634
9466861368,14940
9466861371,94122
9466861374,0
9466861377,237546
9466861380,249000
9466861383,142926
9466861386,140934
9466861389,52290
9466861392,88146
9466861395,159360
9466861398,30378
9466861401,232566
9466861404,127986
9466861407,94620
9466861410,95616
9466861413,122508
9466861416,3984
9466861419,0
9466861422,251988
9466861425,0
9466861428,19920
9466861431,0
9466861434,218622
9466861437,31374
9466861440,79680
9466861443,225096
9466861446,247506
9466861449,70218
9466861452,138942
9466861455,46812
9466861458,74202
9466861461,157368
9466861464,67230
9466861467,252486
9466861470,254976
9466861473,146910
9466861476,148404
9466861479,42828
9466861482,193722
9466861485,101592
9466861488,119022
9466861491,0
9466861494,82170
9466861497,197208
9466861500,58764
9466861503,76692
9466861506,170814
9466861509,79680
9466861512,68724
9466861515,123006
9466861518,63744
9466861521,135456
9466861524,238044
9466861527,14442
9466861530,19920
9466861533,133962
9466861536,27390
9466861539,0
9466861542,203682
9466861545,24900
9466861548,137448
9466861551,140934
9466861554,169818
9466861557,69720
9466861560,162348
9466861563,70218
9466861566,240534
9466861569,68226
9466861572,58764
9466861575,100098
9466861578,167328
9466861581,197208
9466861584,92628
9466861587,175794
9466861590,103584
9466861593,178284
9466861596,33366
9466861599,114540
9466861602,112050
9466861605,124500
9466861608,3486
9466861611,222108
9466861614,30876
9466861617,128982
9466861620,86652
9466861623,33366
9466861626,162348
9466861629,27390
9466861632,250992
9466861635,58266
9466861638,168324
9466861641,89640
9466861644,78186
9466861647,0
9466861650,7470
9466861653,149400
9466861656,126990
9466861659,130974
9466861662,115536
9466861665,71712
9466861668,0
9466861671,128484
9466861674,0
9466861677,0
9466861680,244518
9466861683,33864
9466861686,159858
9466861689,139938
9466861692,51294
9466861695,55278
9466861698,107568
9466861701,72708
9466861704,111552
9466861707,171312
9466861710,23406
9466861713,62250
9466861716,220614
9466861719,51792
9466861722,138942
9466861725,15936
9466861728,179280
9466861731,87150
9466861734,124500
9466861737,86652
9466861740,68226
9466861743,75198
9466861746,128484
9466861749,116034
9466861752,128484
9466861755,115536
9466861758,62748
9466861761,30378
9466861764,141432
9466861767,54282
9466861770,225594
9466861773,0
9466861776,120516
9466861779,106074
9466861782,98106
9466861785,15936
9466861788,218622
9466861791,14442
9466861794,170814
9466861797,0
9466861800,188742
9466861803,2
9466861806,0
9466861809,10
9466861812,0
9466861815,39969
9466861818,70756
9466861821,45366
9466861824,7470
9466861827,138942
9466861830,180892
9466861833,102588
9466861836,164176
9466861839,183762
9466861842,23406
9466861845,11454
9466861848,19920
9466861851,147408
9466861854,203916
9466861857,51294
9466861860,62748
9466861863,46812
9466861866,179280
9466861869,63744
9466861872,245514
9466861875,26892
9466861878,200196
9466861881,42828
9466861884,135456
9466861887,79680
9466861890,160854
9466861893,147408
9466861896,71214
9466861899,216132
9466861902,7470
9466861905,253482
9466861908,184260
9466861911,71712
9466861914,244904
9466861917,85158
9466861920,0
9466861923,66732
9466861926,7470
9466861929,163344
9466861932,67728
9466861935,157368
9466861938,59760
9466861941,0
9466861944,102588
9466861947,147906
9466861950,19422
9466861953,210654
9466861956,53286
9466861959,38346
9466861962,106074
9466861965,140934
9466861968,157866
9466861971,81174
9466861974,165834
9466861977,105078
9466861980,20916
9466861983,0
9466861986,105078
9466861989,111552
9466861992,70218
9466861995,106074
9466861998,56772
9466862001,158364
9466862004,173304
9466862007,97110
9466862010,55278
9466862013,68724
9466862016,0
9466862019,61752
9466862022,60258
9466862025,233064
9466862028,67728
9466862031,202686
9466862034,85656
9466862037,160854
9466862040,67230
9466862043,69222
9466862046,58764
9466862049,180774
9466862052,56274
9466862055,87648
9466862058,182766
9466862061,83166
9466862064,80178
9466862067,195216
9466862070,60258
9466862073,186252
9466862076,39342
9466862079,243522
9466862082,24900
9466862085,229578
9466862088,144918
9466862091,0
9466862094,139938
9466862097,71712
9466862100,166332
9466862103,143922
9466862106,46812
9466862109,7968
9466862112,50796
9466862115,248502
9466862118,24402
9466862121,10956
9466862124,217128
9466862127,99600
9466862130,157368
9466862133,104580
9466862136,75198
9466862139,143424
9466862142,88644
9466862145,167826
9466862148,97110
9466862151,156372
9466862154,16434
9466862157,239538
9466862160,54780
9466862163,248004
9466862166,198636
9466862169,73548
9466862172,62292
9466862175,184716
9466862178,3486
9466862181,117414
9466862184,43326
