timestamp,value
9466860010,39981
9466860020,255212
9466860030,387942
9466860040,171312
9466860050,283860
9466860060,56772
9466860070,342150
9466860080,52290
9466860090,298302
9466860100,369018
9466860110,413340
9466860120,363540
9466860130,234558
9466860140,151890
9466860150,236052
9466860160,199200
9466860170,147408
9466860180,328680
9466860190,287346
9466860200,367524
9466860210,242028
9466860220,54536
9466860230,229994
9466860240,356546
9466860250,262446
9466860260,360054
9466860270,193224
9466860280,314736
9466860290,255972
9466860300,348600
9466860310,149898
9466860320,223602
9466860330,181770
9466860340,122010
9466860350,195216
9466860360,173304
9466860370,249000
9466860380,312744
9466860390,359556
9466860400,156870
9466860410,341130
9466860420,250992
9466860430,165317
9466860440,65577
9466860450,212364
9466860460,42040
9466860470,182296
9466860480,197914
9466860490,148902
9466860500,217128
9466860510,249000
9466860520,263442
9466860530,93126
9466860540,229578
9466860550,234558
9466860560,182268
9466860570,116532
9466860580,304776
9466860590,69720
9466860600,249000
9466860610,152388
9466860620,96612
9466860630,209160
9466860640,145416
9466860650,143424
9466860660,74700
9466860670,160854
9466860680,35856
9466860690,134460
9466860700,145416
9466860710,132468
9466860720,144918
9466860730,235056
9466860740,231072
9466860750,88146
9466860760,54803
9466860770,167743
9466860780,134908
9466860790,239920
9466860800,210654
9466860810,214140
9466860820,104580
9466860830,244020
9466860840,277386
9466860850,142428
9466860860,198204
9466860870,153882
9466860880,181770
9466860890,264936
9466860900,151890
9466860910,113544
9466860920,134460
9466860930,231570
9466860940,166830
9466860950,206172
9466860960,289836
9466860970,192726
9466860980,146412
9466860990,235554
9466861000,301290
9466861010,154878
9466861020,202686
9466861030,144420
9466861040,76090
9466861050,144588
9466861060,114042
9466861070,273996
9466861080,114042
9466861090,231072
9466861100,305772
9466861110,374994
9466861120,139938
9466861130,186750
9466861140,230574
9466861150,164340
9466861160,173802
9466861170,241530
9466861180,135954
9466861190,102090
9466861200,286848
9466861210,214638
9466861220,118524
9466861230,237546
9466861240,218124
9466861250,156870
9466861260,170814
9466861270,162846
9466861280,237546
9466861290,79182
9466861300,201192
9466861310,185377
9466861320,139510
9466861330,230690
9466861340,245514
9466861350,108066
9466861360,180774
9466861370,224100
9466861380,41334
9466861390,275394
9466861400,221112
9466861410,263442
9466861420,233064
9466861430,249000
9466861440,223104
9466861450,225096
9466861460,176292
9466861470,284856
9466861480,315234
9466861490,206670
9466861500,237048
9466861510,202686
9466861520,46314
9466861530,249000
9466861540,249000
9466861550,155874
9466861560,259777
9466861570,15378
9466861580,182078
9466861590,197046
9466861600,247046
9466861610,257466
9466861620,265932
9466861630,199200
9466861640,277884
9466861650,119520
9466861660,175296
9466861670,142428
9466861680,218622
9466861690,236550
9466861700,249000
9466861710,187248
9466861720,186252
9466861730,362544
9466861740,100098
9466861750,195714
9466861760,113544
9466861770,244518
9466861780,215136
9466861790,317226
9466861800,144420
9466861810,199200
9466861820,193615
9466861830,27888
9466861840,97426
9466861850,253832
9466861860,236052
9466861870,119022
9466861880,282864
9466861890,232566
9466861900,241032
9466861910,199200
9466861920,68226
9466861930,180774
9466861940,169818
9466861950,159858
9466861960,226092
9466861970,127986
9466861980,139938
9466861990,253980
9466862000,71214
9466862010,245514
9466862020,215136
9466862030,138942
9466862040,193224
9466862050,224598
9466862060,168822
9466862070,154380
9466862080,174798
9466862090,130476
9466862100,258462
9466862110,176292
9466862120,35856
9466862130,38703
9466862140,49184
9466862150,125712
9466862160,188712
9466862170,175296
9466862180,227088
9466862190,152388
9466862200,99600
9466862210,91134
9466862220,98604
9466862230,130974
9466862240,192228
9466862250,134460
9466862260,131970
9466862270,248502
9466862280,207168
9466862290,113046
9466862300,202686
9466862310,103584
9466862320,238044
9466862330,103086
9466862340,145914
9466862350,39840
9466862360,231570
9466862370,226590
9466862380,112050
