timestamp,value
9466860010,39981
9466860020,303950
9466860030,340198
9466860040,170814
9466860050,284358
9466860060,2490
9466860070,312246
9466860080,290832
9466860090,256470
9466860100,251490
9466860110,252984
9466860120,97608
9466860130,353580
9466860140,261450
9466860150,239040
9466860160,194220
9466860170,282366
9466860180,372504
9466860190,253482
9466860200,305772
9466860210,309756
9466860220,67381
9466860230,200941
9466860240,266292
9466860250,249000
9466860260,262446
9466860270,235554
9466860280,299298
9466860290,298302
9466860300,492522
9466860310,150894
9466860320,226590
9466860330,181272
9466860340,119022
9466860350,199200
9466860360,168324
9466860370,217626
9466860380,236550
9466860390,251988
9466860400,163842
9466860410,331170
9466860420,249000
9466860430,261948
9466860440,181169
9466860450,10
9466860460,210781
9466860470,59614
9466860480,169320
9466860490,229080
9466860500,157368
9466860510,198702
9466860520,354576
9466860530,207168
9466860540,184758
9466860550,158364
9466860560,273402
9466860570,169320
9466860580,238542
9466860590,40338
9466860600,327684
9466860610,80178
9466860620,115038
9466860630,133962
9466860640,229080
9466860650,52290
9466860660,145416
9466860670,96114
9466860680,139440
9466860690,84660
9466860700,135954
9466860710,137946
9466860720,199200
9466860730,256470
9466860740,110058
9466860750,178782
9466860760,169345
9466860770,10
9466860780,206071
9466860790,264824
9466860800,101094
9466860810,247506
9466860820,194220
9466860830,186252
9466860840,148902
9466860850,242526
9466860860,228582
9466860870,94620
9466860880,199698
9466860890,370512
9466860900,86652
9466860910,140436
9466860920,127986
9466860930,195714
9466860940,160356
9466860950,269418
9466860960,242526
9466860970,249000
9466860980,61254
9466860990,219618
9466861000,279378
9466861010,186750
9466861020,190236
9466861030,196710
9466861040,152119
9466861050,86880
9466861060,156882
9466861070,226590
9466861080,249000
9466861090,223104
9466861100,324696
9466861110,247378
9466861120,225594
9466861130,192228
9466861140,206172
9466861150,170814
9466861160,123504
9466861170,204180
9466861180,173802
9466861190,24900
9466861200,331668
9466861210,96114
9466861220,243024
9466861230,214638
9466861240,221610
9466861250,168822
9466861260,170316
9466861270,154380
9466861280,345114
9466861290,130974
9466861300,239040
9466861310,91537
9466861320,245762
9466861330,237546
9466861340,106074
9466861350,179280
9466861360,12450
9466861370,236550
9466861380,249000
9466861390,249000
9466861400,249000
9466861410,255972
9466861420,278382
9466861430,145416
9466861440,252486
9466861450,355572
9466861460,254976
9466861470,363042
9466861480,235554
9466861490,249000
9466861500,148902
9466861510,103584
9466861520,134958
9466861530,118026
9466861540,241530
9466861550,249000
9466861560,91899
9466861570,52798
9466861580,70834
9466861590,247036
9466861600,264936
9466861610,248004
9466861620,234060
9466861630,231072
9466861640,306768
9466861650,109560
9466861660,181770
9466861670,139440
9466861680,270414
9466861690,171312
9466861700,233064
9466861710,224100
9466861720,175794
9466861730,372006
9466861740,78186
9466861750,195714
9466861760,178284
9466861770,173802
9466861780,224100
9466861790,283362
9466861800,180774
9466861810,204678
9466861820,191083
9466861830,37112
9466861840,148072
9466861850,234742
9466861860,149400
9466861870,99600
9466861880,249000
9466861890,185256
9466861900,244020
9466861910,174300
9466861920,143424
9466861930,84162
9466861940,247008
9466861950,126990
9466861960,263442
9466861970,124998
9466861980,82668
9466861990,241032
9466862000,84162
9466862010,274896
9466862020,213642
9466862030,174300
9466862040,249000
9466862050,228582
9466862060,152388
9466862070,173304
9466862080,118026
9466862090,220614
9466862100,247008
9466862110,105078
9466862120,166735
9466862130,12948
9466862140,267682
9466862150,65736
9466862160,198780
9466862170,160854
9466862180,212646
9466862190,228084
9466862200,87648
9466862210,82668
9466862220,99600
9466862230,149400
9466862240,213642
9466862250,92628
9466862260,171312
9466862270,244518
9466862280,149400
9466862290,155376
9466862300,159858
9466862310,167328
9466862320,187248
9466862330,108564
9466862340,98604
9466862350,168822
9466862360,249000
9466862370,219618
9466862380,29382
9466862390,71712
9466862400,213642
9466862410,212646
9466862420,249000
9466862430,53286
9466862440,245514
9466862450,199200
9466862460,16615
9466862470,41216
9466862480,153132
9466862490,221476
9466862500,240036
9466862510,94620
9466862520,187752
9466862530,249000
9466862540,219120
9466862550,79680
9466862560,110556
9466862570,257466
9466862580,225096
9466862590,178782
9466862600,74700
9466862610,186750
9466862620,258462
9466862630,96612
9466862640,180276
9466862650,174300
9466862660,90636
9466862670,158364
9466862680,78186
9466862690,199200
9466862700,182268
9466862710,113046
9466862720,83166
9466862730,190734
9466862740,183264
9466862750,126492
9466862760,238044
9466862770,171810
9466862780,198719
9466862790,7212
9466862800,87656
9466862810,104820
9466862820,145154
9466862830,224048
9466862840,248652
9466862850,185256
9466862860,83166
9466862870,229578
9466862880,168822
9466862890,229578
9466862900,149400
9466862910,174300
9466862920,98106
9466862930,171312
9466862940,54282
9466862950,188244
9466862960,259458
9466862970,199698
9466862980,213144
9466862990,271410
9466863000,240534
9466863010,270912
9466863020,162348
9466863030,335154
9466863040,86652
9466863050,215136
9466863060,122010
9466863070,249000
9466863080,67919
9466863090,52310
9466863100,212506
9466863110,139560
9466863120,316414
9466863130,289338
9466863140,141930
9466863150,494514
9466863160,237020
9466863170,150924
9466863180,283970
9466863190,334656
9466863200,248004
9466863210,249000
9466863220,209160
9466863230,168822
9466863240,351090
9466863250,256470
9466863260,267426
9466863270,181770
9466863280,355074
9466863290,284856
9466863300,18157
9466863310,67500
9466863320,165394
9466863330,266928
9466863340,226590
9466863350,215634
9466863360,206670
9466863370,122508
9466863380,308262
9466863390,185312
9466863400,249000
9466863410,436248
9466863420,260952
9466863430,99600
9466863440,149400
9466863450,273900
9466863460,215136
9466863470,259458
9466863480,158364
9466863490,128982
9466863500,239040
9466863510,293820
9466863520,346110
9466863530,368143
9466863540,10
9466863550,39970
9466863560,341656
9466863570,153384
9466863580,133962
9466863590,146910
9466863600,249000
9466863610,226590
9466863620,249000
9466863630,169818
9466863640,203682
9466863650,139938
9466863660,218622
9466863670,94122
9466863680,198204
9466863690,195714
9466863700,168822
9466863710,129978
9466863720,249000
9466863730,174300
9466863740,217128
9466863750,206172
9466863760,83166
9466863770,231072
9466863780,258462
9466863790,231570
9466863800,17430
9466863810,260952
9466863820,149400
9466863830,104937
9466863840,102638
9466863850,158416
9466863860,146942
9466863870,185754
9466863880,135456
9466863890,222108
9466863900,228582
9466863910,248004
9466863920,161850
9466863930,99600
9466863940,157866
9466863950,285852
9466863960,206172
9466863970,171810
9466863980,323700
9466863990,202686
9466864000,214638
9466864010,130476
9466864020,231570
9466864030,241530
9466864040,219618
9466864050,205674
9466864060,233064
9466864070,236550
9466864080,224100
9466864090,170814
9466864100,97491
9466864110,39970
9466864120,262572
9466864130,117528
9466864140,131472
9466864150,241530
9466864160,219120
9466864170,271908
9466864180,131472
9466864190,174300
9466864200,172806
9466864210,229080
9466864220,103086
9466864230,149898
9466864240,222606
9466864250,172806
9466864260,267924
9466864270,157368
9466864280,317724
9466864290,223602
9466864300,209658
9466864310,163842
9466864320,294816
9466864330,128484
9466864340,149400
9466864350,199200
9466864360,175794
9466864370,314985
9466864380,17868
9466864390,181650
9466864400,171304
9466864410,135954
9466864420,251490
9466864430,207168
9466864440,132966
9466864450,143922
9466864460,249000
9466864470,252486
9466864480,245514
9466864490,0
9466864500,412842
9466864510,234558
9466864520,115536
9466864530,169818
9466864540,181770
9466864550,205176
9466864560,298800
9466864570,67728
9466864580,249498
9466864590,130974
9466864600,249000
9466864610,336648
9466864620,186252
9466864630,181272
9466864640,233767
9466864650,64968
9466864660,82160
9466864670,230064
9466864680,249996
9466864690,165336
9466864700,181272
9466864710,242028
9466864720,136950
9466864730,236550
9466864740,122010
9466864750,274896
9466864760,325194
9466864770,199200
