timestamp,value
9466860003,2
9466860006,10
9466860009,0
9466860012,39969
9466860015,0
9466860018,34880
9466860021,20008
9466860024,22978
9466860027,144558
9466860030,82668
9466860033,3486
9466860036,60258
9466860039,36852
9466860042,161850
9466860045,9960
9466860048,167328
9466860051,22908
9466860054,35358
9466860057,0
9466860060,125496
9466860063,0
9466860066,123504
9466860069,111552
9466860072,0
9466860075,23406
9466860078,88644
9466860081,0
9466860084,176790
9466860087,247008
9466860090,17928
9466860093,0
9466860096,131472
9466860099,57270
9466860102,92130
9466860105,0
9466860108,0
9466860111,0
9466860114,228582
9466860117,20418
9466860120,0
9466860123,85656
9466860126,163344
9466860129,6474
9466860132,0
9466860135,91632
9466860138,225594
9466860141,0
9466860144,0
9466860147,0
9466860150,117030
9466860153,59262
9466860156,0
9466860159,103086
9466860162,0
9466860165,0
9466860168,0
9466860171,243522
9466860174,0
9466860177,97608
9466860180,89142
9466860183,136950
9466860186,124500
9466860189,0
9466860192,199200
9466860195,3486
9466860198,0
9466860201,245514
9466860204,36354
9466860207,171312
9466860210,0
9466860213,41334
9466860216,0
9466860219,24900
9466860222,19422
9466860225,0
9466860228,145914
9466860231,8964
9466860234,0
9466860237,74700
9466860240,0
9466860243,174300
9466860246,0
9466860249,217128
9466860252,69222
9466860255,0
9466860258,48804
9466860261,19920
9466860264,217626
9466860267,0
9466860270,49800
9466860273,53784
9466860276,145416
9466860279,0
9466860282,49800
9466860285,0
9466860288,53286
9466860291,79680
9466860294,165336
9466860297,36852
9466860300,56274
9466860303,0
9466860306,67728
9466860309,50298
9466860312,163842
9466860315,73704
9466860318,0
9466860321,34362
9466860324,0
9466860327,214638
9466860330,24900
9466860333,71712
9466860336,62250
9466860339,27390
9466860342,97608
9466860345,71712
9466860348,15438
9466860351,52290
9466860354,39342
9466860357,60258
9466860360,147408
9466860363,1992
9466860366,117528
9466860369,131472
9466860372,0
9466860375,110556
9466860378,93126
9466860381,45318
9466860384,0
9466860387,24900
9466860390,87648
9466860393,0
9466860396,136452
9466860399,0
9466860402,58266
9466860405,16434
9466860408,124500
9466860411,49800
9466860414,124500
9466860417,60756
9466860420,81174
9466860423,7470
9466860426,110556
9466860429,498
9466860432,0
9466860435,237546
9466860438,0
9466860441,187248
9466860444,0
9466860447,61752
9466860450,0
9466860453,0
9466860456,0
9466860459,0
9466860462,89640
9466860465,116034
9466860468,43326
9466860471,0
9466860474,166830
9466860477,0
9466860480,82170
9466860483,0
9466860486,40338
9466860489,66234
9466860492,0
9466860495,183264
9466860498,58764
9466860501,64740
9466860504,109560
9466860507,23406
9466860510,51294
9466860513,0
9466860516,24900
9466860519,22908
9466860522,126492
9466860525,81672
9466860528,53784
9466860531,61752
9466860534,76692
9466860537,0
9466860540,0
9466860543,34860
9466860546,0
9466860549,214140
9466860552,28386
9466860555,82170
9466860558,127488
9466860561,35856
9466860564,0
9466860567,10956
9466860570,0
9466860573,188742
9466860576,0
9466860579,49302
9466860582,0
9466860585,17928
9466860588,65238
9466860591,15936
9466860594,27390
9466860597,122508
9466860600,0
9466860603,2
9466860606,0
9466860609,0
9466860612,0
9466860615,0
9466860618,10
9466860621,0
9466860624,1465
9466860627,16384
9466860630,30148
9466860633,15148
9466860636,0
9466860639,59910
9466860642,46552
9466860645,126492
9466860648,61254
9466860651,0
9466860654,0
9466860657,113544
9466860660,42828
9466860663,41832
9466860666,15936
9466860669,0
9466860672,171810
9466860675,75198
9466860678,33366
9466860681,34362
9466860684,0
9466860687,111054
9466860690,71214
9466860693,49800
9466860696,67230
9466860699,91134
9466860702,90636
9466860705,0
9466860708,93126
9466860711,155874
9466860714,0
9466860717,7470
9466860720,67230
9466860723,115536
9466860726,39840
9466860729,18924
9466860732,110556
9466860735,37350
9466860738,7470
9466860741,218124
9466860744,49800
9466860747,0
9466860750,31374
9466860753,146910
9466860756,42828
9466860759,76474
9466860762,0
9466860765,91134
9466860768,0
9466860771,0
9466860774,158862
9466860777,74700
9466860780,58266
9466860783,3486
9466860786,0
9466860789,237048
9466860792,0
9466860795,0
9466860798,147408
9466860801,33864
9466860804,67728
9466860807,0
9466860810,0
9466860813,23406
9466860816,210156
9466860819,0
9466860822,104580
9466860825,0
9466860828,159858
9466860831,92628
9466860834,131472
9466860837,0
9466860840,52290
9466860843,120516
9466860846,0
9466860849,51294
9466860852,0
9466860855,74700
9466860858,39840
9466860861,0
9466860864,112050
9466860867,22410
9466860870,3486
9466860873,71214
9466860876,24900
9466860879,19422
9466860882,0
9466860885,112548
9466860888,17430
9466860891,74700
9466860894,0
9466860897,24900
9466860900,0
9466860903,30378
9466860906,13944
9466860909,67728
9466860912,0
9466860915,112050
9466860918,0
9466860921,32370
9466860924,92130
9466860927,60756
9466860930,63744
9466860933,57270
9466860936,137946
9466860939,62748
9466860942,0
9466860945,55776
9466860948,50796
9466860951,126492
9466860954,56772
9466860957,0
9466860960,58266
9466860963,66732
9466860966,99102
9466860969,78186
9466860972,3486
9466860975,142428
9466860978,24900
9466860981,15438
9466860984,117528
9466860987,91134
9466860990,24900
9466860993,0
9466860996,120018
9466860999,44820
9466861002,77190
9466861005,6972
9466861008,7470
9466861011,0
9466861014,216630
9466861017,24900
9466861020,12948
9466861023,90138
9466861026,58764
9466861029,87150
9466861032,0
9466861035,18924
9466861038,63246
9466861041,65736
9466861044,30378
9466861047,70218
9466861050,103584
9466861053,36354
9466861056,34860
9466861059,24900
9466861062,49800
9466861065,63744
9466861068,74202
9466861071,64740
9466861074,42330
9466861077,53784
9466861080,0
9466861083,58764
9466861086,0
9466861089,95616
9466861092,0
9466861095,94620
9466861098,34860
9466861101,0
9466861104,118026
9466861107,71214
9466861110,14940
9466861113,56772
9466861116,152388
9466861119,47808
9466861122,14442
9466861125,12450
9466861128,39840
9466861131,134460
9466861134,0
9466861137,35358
9466861140,85158
9466861143,35358
9466861146,118026
9466861149,0
9466861152,74700
9466861155,19422
9466861158,154878
9466861161,46812
9466861164,109560
9466861167,54780
9466861170,0
9466861173,78684
9466861176,158364
9466861179,33366
9466861182,41334
9466861185,0
9466861188,69720
9466861191,72210
9466861194,0
9466861197,32370
9466861200,24900
9466861203,2
9466861206,0
9466861209,0
9466861212,0
9466861215,10
9466861218,0
9466861221,39969
9466861224,17818
9466861227,71820
9466861230,22808
9466861233,35180
9466861236,182904
9466861239,0
9466861242,112050
9466861245,136950
9466861248,99600
9466861251,0
9466861254,122010
9466861257,15936
9466861260,75696
9466861263,35358
9466861266,15936
9466861269,11454
9466861272,0
9466861275,196212
9466861278,25398
9466861281,96114
9466861284,132468
9466861287,20418
9466861290,47808
9466861293,0
9466861296,172806
9466861299,31374
9466861302,71712
9466861305,95118
9466861308,70218
9466861311,8964
9466861314,105576
9466861317,143424
9466861320,0
9466861323,115536
9466861326,25896
9466861329,4482
9466861332,0
9466861335,157368
9466861338,70218
9466861341,0
9466861344,0
9466861347,30876
9466861350,0
9466861353,0
9466861356,159858
9466861359,58266
9466861362,0
9466861365,0
9466861368,88146
9466861371,19422
9466861374,141432
9466861377,0
9466861380,0
9466861383,58764
9466861386,18924
9466861389,60756
9466861392,110556
9466861395,0
9466861398,0
9466861401,124998
9466861404,124002
9466861407,0
9466861410,0
9466861413,0
9466861416,15438
9466861419,131970
9466861422,0
9466861425,101592
9466861428,28386
9466861431,7968
9466861434,88146
9466861437,74700
9466861440,31872
9466861443,17928
9466861446,0
9466861449,61254
9466861452,28884
9466861455,60258
9466861458,98604
9466861461,0
9466861464,24900
9466861467,49800
9466861470,15438
9466861473,133962
9466861476,24900
9466861479,62748
9466861482,11952
9466861485,102588
9466861488,71712
9466861491,49800
9466861494,24900
9466861497,0
9466861500,224100
9466861503,7470
9466861506,9462
9466861509,84162
9466861512,48306
9466861515,49800
9466861518,28386
9466861521,21414
9466861524,0
9466861527,11454
9466861530,61254
9466861533,11454
9466861536,133962
9466861539,75198
9466861542,0
9466861545,154878
9466861548,7470
9466861551,39342
9466861554,27888
9466861557,133464
9466861560,63744
9466861563,1992
9466861566,66732
9466861569,114540
9466861572,42828
9466861575,24900
9466861578,0
9466861581,74700
9466861584,32370
9466861587,27390
9466861590,125496
9466861593,113544
9466861596,5478
9466861599,11952
9466861602,35358
9466861605,169320
9466861608,30378
9466861611,46314
9466861614,0
9466861617,131472
9466861620,0
9466861623,117528
9466861626,0
9466861629,0
9466861632,124500
9466861635,0
9466861638,0
9466861641,65736
9466861644,11454
9466861647,122010
9466861650,49800
9466861653,0
9466861656,0
9466861659,24402
9466861662,63744
9466861665,220614
9466861668,37848
9466861671,36852
9466861674,89640
9466861677,52788
9466861680,0
9466861683,22410
9466861686,74202
9466861689,0
9466861692,77688
9466861695,21912
9466861698,74700
9466861701,28386
9466861704,115038
9466861707,0
9466861710,171312
9466861713,7470
9466861716,139440
9466861719,86154
9466861722,0
9466861725,42330
9466861728,0
9466861731,0
9466861734,199200
9466861737,7470
9466861740,0
9466861743,103086
9466861746,71214
9466861749,49800
9466861752,24900
9466861755,23406
9466861758,150894
9466861761,3486
9466861764,71214
9466861767,27888
9466861770,207666
9466861773,13446
9466861776,57270
9466861779,15936
9466861782,32370
9466861785,143424
9466861788,99600
9466861791,51792
9466861794,68724
9466861797,53784
9466861800,0
9466861803,2
9466861806,0
9466861809,0
9466861812,10
9466861815,0
9466861818,37101
9466861821,2868
9466861824,54888
9466861827,4474
9466861830,115126
9466861833,105576
9466861836,32370
9466861839,99600
9466861842,0
9466861845,117030
9466861848,0
9466861851,114540
9466861854,9960
9466861857,38346
9466861860,7470
9466861863,35358
9466861866,104082
9466861869,38844
9466861872,51792
9466861875,172308
9466861878,24900
9466861881,7470
9466861884,46812
9466861887,0
9466861890,124002
9466861893,99102
9466861896,21414
9466861899,42330
9466861902,0
9466861905,0
9466861908,206670
9466861911,68226
9466861914,130974
9466861917,49800
9466861920,0
9466861923,24900
9466861926,26892
9466861929,124998
9466861932,19422
9466861935,18924
9466861938,58764
9466861941,15438
9466861944,9462
9466861947,67230
9466861950,156870
9466861953,0
9466861956,103086
9466861959,71214
9466861962,74700
9466861965,0
9466861968,3486
9466861971,174300
9466861974,71214
9466861977,30378
9466861980,89640
9466861983,32868
9466861986,77190
9466861989,42828
9466861992,996
9466861995,62250
9466861998,112050
9466862001,24900
9466862004,63246
9466862007,15438
9466862010,70716
9466862013,24900
9466862016,3486
9466862019,121014
9466862022,39342
9466862025,83664
9466862028,1494
9466862031,0
9466862034,14940
9466862037,207168
9466862040,26892
9466862043,43824
9466862046,54780
9466862049,0
9466862052,175296
9466862055,0
9466862058,0
9466862061,0
9466862064,101592
9466862067,27390
9466862070,120018
9466862073,0
9466862076,98604
9466862079,33366
9466862082,22908
9466862085,19422
9466862088,0
9466862091,115038
9466862094,92130
9466862097,41832
9466862100,3486
9466862103,21414
9466862106,82170
9466862109,70218
9466862112,29382
9466862115,42330
9466862118,0
9466862121,11952
9466862124,124002
9466862127,51294
9466862130,0
9466862133,73206
9466862136,18924
9466862139,142428
9466862142,1494
9466862145,0
9466862148,27888
9466862151,46812
9466862154,0
9466862157,89640
9466862160,84660
9466862163,14940
9466862166,63246
9466862169,3984
9466862172,74700
9466862175,23406
9466862178,68724
9466862181,74700
9466862184,56772
9466862187,117528
9466862190,0
9466862193,61254
9466862196,3486
9466862199,123006
9466862202,0
9466862205,0
9466862208,235554
9466862211,0
9466862214,43824
9466862217,27390
9466862220,135456
9466862223,0
9466862226,42330
9466862229,0
9466862232,0
9466862235,64740
